epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.685774564743042,0.601568341255188,27.88676643371582,0.7939011454582214,0.7793548107147217,0.5,0.640625,7.800705909729004,0.0,0.0
1,0.7896856069564819,0.7505144476890564,10.085168838500977,0.8613423705101013,0.854451596736908,0.5,0.40625,5.92861270904541,0.0,0.0
2,0.8134585618972778,0.8061330318450928,6.498998165130615,0.8762966990470886,0.871999979019165,0.5,0.3671875,5.078036308288574,0.0,0.0
3,0.8337806463241577,0.8754503130912781,4.8786420822143555,0.8937172889709473,0.8810322284698486,0.375,0.3203125,4.663212776184082,0.0,0.0
4,0.8293711543083191,0.8889304399490356,4.230484962463379,0.8883684873580933,0.8810322284698486,0.375,0.3359375,4.412158489227295,0.0,0.0
5,0.8397239446640015,0.9076642990112305,3.9467811584472656,0.8786444067955017,0.909935474395752,0.4375,0.3203125,4.231901168823242,0.3333333432674408,0.125
6,0.8274539709091187,0.8988497257232666,3.7955381870269775,0.8712253570556641,0.9009032249450684,0.5,0.2890625,4.0898661613464355,0.5,0.25
7,0.8416411280632019,0.9060717225074768,3.6597111225128174,0.8829439878463745,0.907096803188324,0.375,0.3203125,3.9587955474853516,0.3333333432674408,0.25
8,0.8328220844268799,0.9115001559257507,3.523221731185913,0.8666666746139526,0.9158709645271301,0.375,0.3515625,3.8422536849975586,0.375,0.375
9,0.8310966491699219,0.9065411686897278,3.4221229553222656,0.868719220161438,0.9101935625076294,0.375,0.40625,3.734048366546631,0.375,0.375
10,0.8456671833992004,0.9101625680923462,3.315886974334717,0.891581654548645,0.9019354581832886,0.4375,0.3125,3.6478261947631836,0.4444444477558136,0.5
11,0.8533359169960022,0.9143071174621582,3.216646432876587,0.8960774540901184,0.9078709483146667,0.375,0.2890625,3.558558940887451,0.4000000059604645,0.5
12,0.8529524803161621,0.9139464497566223,3.1344642639160156,0.9007220268249512,0.9014193415641785,0.4375,0.25,3.4755091667175293,0.4444444477558136,0.5
13,0.8567867875099182,0.9080924391746521,3.0563712120056152,0.9041343927383423,0.9029677510261536,0.4375,0.28125,3.3891806602478027,0.4444444477558136,0.5
14,0.8638803958892822,0.9152260422706604,2.9692962169647217,0.903596043586731,0.914322555065155,0.375,0.3671875,3.304291248321533,0.4000000059604645,0.5
15,0.8541027903556824,0.9141473770141602,2.8845486640930176,0.9027418494224548,0.9006451368331909,0.4375,0.3125,3.2320055961608887,0.4444444477558136,0.5
16,0.8702070713043213,0.9237062335014343,2.7906765937805176,0.9203469753265381,0.9034838676452637,0.4375,0.3203125,3.1559290885925293,0.4444444477558136,0.5
17,0.8711656332015991,0.9256555438041687,2.719123363494873,0.9169487357139587,0.9089032411575317,0.4375,0.390625,3.078305244445801,0.4444444477558136,0.5
18,0.8698236346244812,0.9247798323631287,2.6496827602386475,0.9205263257026672,0.9027096629142761,0.375,0.3828125,3.0056309700012207,0.375,0.375
19,0.8753834366798401,0.9278224110603333,2.5715038776397705,0.9202501773834229,0.9112257957458496,0.3125,0.4140625,2.9346070289611816,0.2857142984867096,0.25
